USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,315923
Cx/Cc,Cx/Cc,70% ARBORICULTURA TROPICAL CON 30% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,6150
Bi/Cc,Bi/Cc,70% BOSQUE INTERVENIDO CON 30% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1946207
Cr/Pn,Cr/Pn,70% CULTIVO DE FRUTALES CON 30% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1237629
Pn-Va,Pn-Va,50% PASTO NATURAL CON 50% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,2855635
Cx/Pc,Cx/Pc,70% ARBORICULTURA TROPICAL CON 30% PASTO CULTIVADO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,12462
Pc/Ap,Pc/Ap,PASTO CULTIVADO EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,490531
Cx/Bi,Cx/Bi,70% ARBORICULTURA TROPICAL CON 30% BOSQUE INTERVENIDO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,810423
Ce,Ce,100% CULTIVO DE CEREALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,320895
Bp/Pn,Bp/Pn,70% BOSQUE PLANTADO CON 30% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,3746468
Va,Va,100% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,6919628
Pc/Cc,Pc/Cc,70% PASTO CULTIVADO CON 30% CULTIVO DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,84907598
Cc/Ap,Cc/Ap,CULTIVOS DE CICLO CORTO  EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,2717685
