"","Location","cobertura","tipo","temporalid","pisoclimat","cubierta","tipo2","tipo3","asociacion","rotacion1","rotacion2","sistemadep","tamanoparc","riego","uso","alteracion","origenagua","observacio","control","zhc","zona","shape_leng","Shape_Area","superficie","area_recal","area","Version..1.0","AREA"
"95","Cumbi2","Cultivo","quinua","Ciclo corto","Templado","Sin cubierta","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Agricola extensivo","*No Aplica*","*No Aplica*","<Null>",1,"Ciclo corto-Con riego-Parcela pequeña-Templado","Zona 31",944.459973069,47458.355448,4.7458355448,4304040,48050,NA,NA
"96","Cumbi2","Pastizal","Pasto de corte (forraje)","Semipermanente","Templado","*No Aplica*","MAIZ SUAVE","PAPA","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Pecuario bovino extensivo","*No Aplica*","*No Aplica*","",1,"Mosaicos-Con riego-Parcela pequeña-Templado","Zona 49",60303.6507503,9271158.59366,927.115859366,631162,282160,NA,NA
"97","Cumbi2","Plantacion Forestal","Eucalipto","Permanente","No aplica","*No Aplica*","No Aplica","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","*No Aplica*","No aplica","*No Aplica*","Forestal para madera","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",1046.12625303,39971.912182,3.9971912182,405974,40470,NA,NA
"98","Cumbi2","Vegetacion Arbustiva","Vegetacion arbustiva seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Pastoreo ocasional","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",3386.75197942,72387.0429284,7.2387042928,66724,66724,NA,NA
"99","Cumbi2","Vegetacion Herbacea","Vegetacion herbacea seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",198998.510883,23275883.383,2327.5883383,2438354,1307263,NA,NA
"100","Cumbi3","Cuerpo Agua","Rio","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Riego consumo energia","*No Aplica*","Natural","",1,"No aplicable","No aplicable",285078.48963,4526069.72872,452.606972872,67573,67573,NA,NA
"101","Cumbi3","Cultivo","haba","Ciclo corto","Frio","Sin cubierta","PASTO CULTIVADO","MAIZ SUAVE","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Agricola extensivo","*No Aplica*","*No Aplica*","<Null>",1,"Mosaicos-Con riego-Parcela pequeña-Frio","Zona 19",10690.9732389,2028026.52033,202.802652033,8096508,2052810,NA,NA
"102","Cumbi3","Pastizal","Pasto cultivado","Permanente","Frio","*No Aplica*","PAPA","HABA","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Sin riego","Pecuario bovino extensivo","*No Aplica*","*No Aplica*","",1,"Mosaicos-Sin riego-Parcela pequeña-Frio","Zona 22",26503.5056392,12969766.6644,1296.97666644,1376569,537647,NA,NA
"103","Cumbi3","Plantacion Forestal","Eucalipto","Permanente","No aplica","*No Aplica*","No Aplica","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","*No Aplica*","No aplica","*No Aplica*","Conservacion y produccion","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",7017.92951426,185124.052154,18.5124052154,296010,156670,NA,NA
"104","Cumbi3","Vegetacion Arbustiva","Vegetacion arbustiva seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Pastoreo ocasional","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",3386.75197942,72387.0429284,7.2387042928,336057,44510,NA,NA
